VOLTAITEM;STAITEMNBR;IST-Bestand;VOLTAUOM;Beschreib;Ort;VOLTAITEM;STAITEMNBR;
C1000118-AA;ST0012364;3;EA;NVH CENTRE LH LOWER -  O;22H25021;C1000118-AA;ST0012365;Others (Sealing, NVH, Hoses, …)
C1000119-AA;ST0012365;3;EA;NVH CENTRE RH UPPER -  O;U2503041;C1000119-AA;ST0012366;Others (Sealing, NVH, Hoses, …)
C1000120-AA;ST0012366;3;EA;NVH CENTRE RH LOWER -  O;U2503041;C1000120-AA;ST0012367;Others (Sealing, NVH, Hoses, …)
C1000121-AA;ST0012367;3;EA;NVH PASSENGER SEAT LH UP;U2503041;C1000121-AA;ST0012368;Others (Sealing, NVH, Hoses, …)
C1000122-AA;ST0012368;3;EA;NVH PASSENGER SEAT LH MI;U2503041;C1000122-AA;ST0012369;Others (Sealing, NVH, Hoses, …)
C1000123-AA;ST0012369;3;EA;NVH PASSENGER SEAT LH LO;U4004032;C1000123-AA;ST0012370;Others (Sealing, NVH, Hoses, …)
C1000124-AA;ST0012370;3;EA;NVH PASSENGER SEAT RH UP;U2503041;C1000124-AA;ST0012371;Others (Sealing, NVH, Hoses, …)
C1000125-AA;ST0012371;3;EA;NVH PASSENGER SEAT RH MI;U4004032;C1000125-AA;ST0012372;Others (Sealing, NVH, Hoses, …)
C1000126-AA;ST0012372;3;EA;NVH PASSENGER SEAT RH LO;U4004032;C1000126-AA;ST0012373;Others (Sealing, NVH, Hoses, …)
C1000127-AA;ST0012373;3;EA;NVH OUTBOARD LH -  OUTER;U2503041;C1000127-AA;ST0012374;Others (Sealing, NVH, Hoses, …)
C1000128-AA;ST0012374;3;EA;NVH OUTBOARD RH -  OUTER;U2503041;C1000128-AA;ST0012375;Others (Sealing, NVH, Hoses, …)
C1000129-AA;ST0012375;3;EA;NVH FORE -  MAIN FLOOR;U4004022;C1000129-AA;ST0012376;Others (Sealing, NVH, Hoses, …)
C1000130-AA;ST0012376;4;EA;NVH AFT -  MAIN FLOOR;U4004022;C1000130-AA;ST0012377;Others (Sealing, NVH, Hoses, …)
C1000131-AA;ST0012377;4;kg;NVH -  LH STEP FLOOR;U4004032;C1000131-AA;ST0012378;Others (Sealing, NVH, Hoses, …)
C1000133-AA;ST0012379;6;EA;NVH LOWER -  FR DASH MLD;U4004012;C1000133-AA;ST0012380;Others (Sealing, NVH, Hoses, …)
C1000134-AA;ST0012380;8;EA;NVH LOWER MID -  FR DASH;Rework47;C1000134-AA;ST0012381;Others (Sealing, NVH, Hoses, …)
C1000135-AA;ST0012381;8;EA;NVH UPPER MID -  FR DASH;Rework47;C1000135-AA;ST0012382;Others (Sealing, NVH, Hoses, …)
C1000136-AA;ST0012382;8;EA;NVH UPPER -  FR DASH MLD;Rework47;C1000136-AA;ST0012383;Others (Sealing, NVH, Hoses, …)
C1000137-AA;ST0012383;4;EA;NVH LOWER -  FL DASH MLD;U4004022;C1000137-AA;ST0012384;Others (Sealing, NVH, Hoses, …)
C1000138-AA;ST0012384;3;EA;NVH LH LOWER MID -  FL D;U4004022;C1000138-AA;ST0012385;Others (Sealing, NVH, Hoses, …)
C1000139-AA;ST0012385;4;EA;NVH RH LOWER MID -  FL D;U2503041;C1000139-AA;ST0012386;Others (Sealing, NVH, Hoses, …)
C1000140-AA;ST0012386;4;EA;NVH UPPER MID -  FL DASH;U2503041;C1000140-AA;ST0012387;Others (Sealing, NVH, Hoses, …)
C1000141-AA;ST0012387;3;EA;NVH UPPER -  FL DASH MLD;U4004022;C1000141-AA;ST0012388;Others (Sealing, NVH, Hoses, …)
C1000145-AA;ST0012391;3;EA;NVH OUTBOARD RH -  OUTER;U4004032;C1000145-AA;ST0012392;Others (Sealing, NVH, Hoses, …)
C1000146-AA;ST0012392;4;EA;NVH OUTBOARD LH -  OUTER;U4004032;C1000146-AA;ST0012393;Others (Sealing, NVH, Hoses, …)
C1000153-AA;ST0012398;1 048,00;EA;M6X1 - 20MM. PC10.9. BUT;VolKontr;C1000153-AA;ST0012399;Fasteners
